Number of Records,Sport Id,Sport Name
1,S1,Alpine Skiing
1,S2,Archery
1,S3,Athletics
1,S4,Badminton
1,S5,Baseball
1,S6,Basketball
1,S7,Beach Volleyball
1,S8,Biathlon
1,S9,Bobsleigh
1,S10,Boxing
1,S11,Canoeing
1,S12,Cross Country Skiing
1,S13,Curling
1,S14,Cycling
1,S15,Diving
1,S16,Equestrianism
1,S17,Fencing
1,S18,Figure Skating
1,S19,Football
1,S20,Freestyle Skiing
1,S21,Golf
1,S22,Gymnastics
1,S23,Handball
1,S24,Hockey
1,S25,Ice Hockey
1,S26,Judo
1,S27,Luge
1,S28,Modern Pentathlon
1,S29,Nordic Combined
1,S30,Rhythmic Gymnastics
1,S31,Rowing
1,S32,Rugby Sevens
1,S33,Sailing
1,S34,Shooting
1,S35,Short Track Speed Ska
1,S36,Skeleton
1,S37,Ski Jumping
1,S38,Snowboarding
1,S39,Softball
1,S40,Speed Skating
1,S41,Swimming
1,S42,Synchronized Swimming
1,S43,Table Tennis
1,S44,Taekwondo
1,S45,Tennis
1,S46,Trampolining
1,S47,Triathlon
1,S48,Volleyball
1,S49,Water Polo
1,S50,Weightlifting
1,S51,Wrestling
